,index,YEAR,OCCSOC,IND1990,FRACCOLLEGE,FRACWHITE,FRACFEMALE,AGE,LOGEMP,Pre,Post,AI,AIPost,num_patents
0,0,2005,311010,812,-0.6008786739919012,-0.40872207665529176,-0.12540667668908662,3.6775543047568826,10.0190458931704,1,0,0,0,1.818
1,1,2005,311010,831,-0.8774278729277454,-0.6412507730012904,-0.20940671316940784,3.726242190440505,12.565238983368154,1,0,0,0,1.818
2,2,2005,311010,832,-1.431479019083823,-0.670357766786518,-0.10118585385264281,3.7006644871458234,12.942161971501271,1,0,0,0,1.818
3,3,2006,311010,812,-0.8267762246664068,-0.32363631044520447,-0.08089391856344648,3.665944017715053,10.060833123259906,1,0,0,0,1.969
4,4,2006,311010,831,-0.8958309400411306,-0.6695398126058388,-0.2365589885730402,3.7363537939928833,12.616900017635286,1,0,0,0,1.969
5,5,2006,311010,832,-1.3944856707194817,-0.66445484924161,-0.09020317505193068,3.7032753343976688,12.92070241401092,1,0,0,0,1.969
6,6,2007,311010,812,-0.7079850901137597,-0.27438389782892864,-0.07705923509180584,3.654835401547383,10.120613031524774,1,0,0,0,2.183
7,7,2007,311010,831,-0.8508827702020783,-0.6429901105762977,-0.2320526431364675,3.7264856404457363,12.611027623544103,1,0,0,0,2.183
8,8,2007,311010,832,-1.3658261554011872,-0.6780105739362658,-0.09769629764567611,3.703301450644186,12.975914628084048,1,0,0,0,2.183
9,9,2008,311010,812,-0.5501666416184093,-0.19534895950032596,-0.14190909493965295,3.691986654956685,10.101682458486373,1,0,0,0,2.277
10,10,2008,311010,831,-0.7958660774667612,-0.6610074902246948,-0.22642337391153736,3.7355575884635988,12.749585183598448,1,0,0,0,2.277
11,11,2008,311010,832,-1.148462289052615,-0.6311972746357044,-0.07594516324551381,3.7101197308819875,13.062275736387894,1,0,0,0,2.277
12,12,2009,311010,812,-0.5466306213218425,-0.32531403123614433,-0.06496127326014432,3.679864583017721,9.897167623791308,1,0,0,0,2.25
13,13,2009,311010,831,-0.743867448760558,-0.625982724592328,-0.21097781677477384,3.7363441831555786,12.660169175050076,1,0,0,0,2.25
14,14,2009,311010,832,-1.253515828329694,-0.6414475555133182,-0.09867823008159007,3.7134157453071976,13.031195008447336,1,0,0,0,2.25
15,15,2010,311010,812,-0.5212672963236764,-0.3473555317017801,-0.1306977983184505,3.6871388096361524,10.12141753679745,1,0,0,0,2.335
16,16,2010,311010,831,-0.7610570973150457,-0.6475443013990368,-0.24166787393019135,3.7442700996735563,12.710842972937755,1,0,0,0,2.335
17,17,2010,311010,832,-1.1469903214048416,-0.6616163598138575,-0.08625790546523443,3.7099828856011228,13.010255706355926,1,0,0,0,2.335
18,18,2011,311010,812,-0.47211572902787424,-0.22681629766552855,-0.07728151270490002,3.7159851675592743,10.036487553997372,1,0,0,0,2.404
19,19,2011,311010,831,-0.6653326275820501,-0.598115792662821,-0.267208235601029,3.7504498617976205,12.712884223784096,1,0,0,0,2.404
20,20,2011,311010,832,-1.0364707681568692,-0.6476021358087662,-0.10091291366615394,3.7112735310812504,12.998220913380317,1,0,0,0,2.404
21,21,2012,311010,812,-0.5073825754857731,-0.2205516393522911,-0.14825474080768097,3.7082519923750574,10.284796570766533,1,0,0,0,2.719
