occ_code,occ_code,11-2021,11-3021,11-3031,13-1031,13-1032,13-1041,13-1111,13-2041,13-2052,13-2053,13-2061,13-2071,13-2072,15-2011,15-2031,15-2041,23-2093,33-9021,41-1012,41-3021,41-3031,43-1011,43-3011,43-3071,43-4011,43-4021,43-4041,43-4051,43-4131,43-4141,43-6011,43-9021,43-9041,43-9051,43-9071,43-9111,year
,occ_title,Marketing managers,Computer and information systems managers,Financial managers,"Claims adjusters, examiners, and investigators","Insurance appraisers, auto damage","Compliance officers, except agriculture, construction, health and safety, and transportation",Management analysts,Credit analysts,Personal financial advisors,Insurance underwriters,Financial examiners,Loan counselors,Loan officers,Actuaries,Operations research analysts,Statisticians,"Title examiners, abstractors, and searchers",Private detectives and investigators,First-line supervisors/managers of non-retail sales workers,Insurance sales agents,"Securities, commodities, and financial services sales agents",First-line supervisors/managers of office and administrative support workers,Bill and account collectors,Tellers,Brokerage clerks,Correspondence clerks,"Credit authorizers, checkers, and clerks",Customer service representatives,Loan interviewers and clerks,New accounts clerks,Executive secretaries and administrative assistants,Data entry keyers,Insurance claims and policy processing clerks,"Mail clerks and mail machine operators, except postal service","Office machine operators, except computer",Statistical assistants,
1,a_mean_2008,        118160,        118710,        110640,         57550,         53980,         53760,         82920,         64580,         92970,         62600,         78180,         41970,         63540,         95980,         74220,         74790,         42090,         46480,         79870,         60440,         92050,         48700,         32180,         24250,         41370,         31280,         31980,         31790,         33890,         30990,         42340,         27110,         34830,         26420,         27310,         36020,2008
4,a_mean_2009,        120070,        120640,        113730,         58780,         56180,         55100,         84650,         67230,         94180,         63330,         79070,         40930,         63210,         97450,         75370,         75220,         42960,         47130,         79610,         61330,         91390,         49990,         32560,         24780,         42750,         32990,         33700,         32410,         34670,         31490,         44010,         28000,         35740,         27150,         28060,         37500,2009
7,a_mean_2010,122720,123280,116970,60200,57710,62140,87260,68180,91220,65220,82320,41700,65900,98620,76980,76070,43370,47830,81120,62520,95130,50770,33100,24980,42640,34440,34670,32780,35180,31540,45860,28400,36390,27530,28610,37090,2010
10,a_mean_2011,126190,125660,120450,61110,59080,63760,87980,69640,90900,67520,83620,41940,67960,103000,78840,77280,44850,48610,82400,62970,98810,52330,33770,25510,43800,35450,35790,33120,35810,32360,48120,29010,36850,28010,29190,40540,2011
13,a_mean_2012,129870,129130,123260,61530,60230,64960,88070,69500,90820,69200,84220,43670,70350,106680,79830,79570,46310,50780,82320,63400,100910,52830,34320,25790,44390,36920,35680,33110,36180,32950,50220,29220,37300,28140,29580,41010,2012
16,a_mean_2013,133700,132570,126660,62340,63100,66770,89990,72590,99920,70110,86980,44960,71800,107740,81660,83310,47340,53890,82890,63610,102510,53690,34650,26260,47760,35810,35660,33370,36940,33940,51870,29670,38010,28760,29710,42530,2013
19,a_mean_2014,137400,136280,130230,63500,64750,68000,90860,75970,108090,70570,86460,47600,73670,110090,82940,84010,48190,52880,84010,63730,103260,54400,35540,26650,50120,36240,36730,33890,38120,34890,53590,30130,38740,29160,30200,42990,2014
22,a_mean_2015,140660,141000,134330,64300,65300,69180,91770,79720,118050,72650,88310,49310,75170,110560,84180,84440,49840,52840,84910,64790,102860,56170,36600,27260,51640,36340,37920,34560,39210,35820,55460,30810,39560,29930,30980,44220,2015
25,a_mean_2016,144140,145740,139720,64990,65930,70250,91910,81160,123100,75480,88940,49480,76260,114120,84340,85160,51490,53530,85830,67760,102260,57890,37620,28060,52380,37660,39320,35170,40300,36480,57910,31640,40780,30580,32390,48300,2016
28,a_mean_2017,145620,149730,143530,66340,64680,71540,93440,82900,124140,77660,91780,49460,77920,114850,86510,88980,51180,55080,83370,66990,97440,58540,37650,28880,52850,38100,39670,35650,40610,36560,59400,32530,41090,31200,33190,49090,2017
31,a_mean_2018,147240,152860,146830,67540,65510,72520,94390,82300,121770,76880,90310,49820,76270,116250,88350,92600,51380,56810,84600,67890,98770,59340,38220,30140,53940,38990,40670,36470,41310,37000,61550,33740,42150,32040,34530,50110,2018
34,a_mean_2019,149200,156390,147530,68940,66240,72850,95560,84930,119290,77640,92330,50230,76200,120970,90600,95680,52050,57000,86180,67780,93090,60130,39300,31660,55190,39570,41880,37320,41960,38490,62920,34820,43280,32620,35150,51640,2019
