,occ_code,11-2021,11-3021,11-3031,13-1031,13-1032,13-1041,13-1111,13-2041,13-2052,13-2053,13-2061,13-2071,13-2072,15-2011,15-2031,15-2041,23-2093,33-9021,41-1012,41-3021,41-3031,43-1011,43-3011,43-3071,43-4011,43-4021,43-4041,43-4051,43-4131,43-4141,43-6011,43-9021,43-9041,43-9051,43-9071,43-9111
0,occ_title,Marketing managers,Computer and information systems managers,Financial managers,"Claims adjusters, examiners, and investigators","Insurance appraisers, auto damage","Compliance officers, except agriculture, construction, health and safety, and transportation",Management analysts,Credit analysts,Personal financial advisors,Insurance underwriters,Financial examiners,Loan counselors,Loan officers,Actuaries,Operations research analysts,Statisticians,"Title examiners, abstractors, and searchers",Private detectives and investigators,First-line supervisors/managers of non-retail sales workers,Insurance sales agents,"Securities, commodities, and financial services sales agents",First-line supervisors/managers of office and administrative support workers,Bill and account collectors,Tellers,Brokerage clerks,Correspondence clerks,"Credit authorizers, checkers, and clerks",Customer service representatives,Loan interviewers and clerks,New accounts clerks,Executive secretaries and administrative assistants,Data entry keyers,Insurance claims and policy processing clerks,"Mail clerks and mail machine operators, except postal service","Office machine operators, except computer",Statistical assistants
1,a_mean_2008,        118160,        118710,        110640,         57550,         53980,         53760,         82920,         64580,         92970,         62600,         78180,         41970,         63540,         95980,         74220,         74790,         42090,         46480,         79870,         60440,         92050,         48700,         32180,         24250,         41370,         31280,         31980,         31790,         33890,         30990,         42340,         27110,         34830,         26420,         27310,         36020
2,h_mean_2008,         56.81,         57.07,         53.19,         27.67,         25.95,         25.85,         39.87,         31.05,         44.69,         30.09,         37.59,         20.18,         30.55,         46.14,         35.68,         35.96,         20.24,         22.35,         38.40,         29.06,         44.26,         23.42,         15.47,         11.66,         19.89,         15.04,         15.37,         15.28,         16.29,         14.90,         20.35,         13.04,         16.75,         12.70,         13.13,         17.32
3,tot_emp_2008,166790,276820,500590,277230,11280,242270,535850,74400,146690,98690,26020,29430,321850,18220,60860,20680,59390,35820,275390,327780,271900,1404330,408760,600380,68430,13450,65020,2233270,212340,87300,1491520,272810,237800,137350,79470,16900
4,a_mean_2009,        120070,        120640,        113730,         58780,         56180,         55100,         84650,         67230,         94180,         63330,         79070,         40930,         63210,         97450,         75370,         75220,         42960,         47130,         79610,         61330,         91390,         49990,         32560,         24780,         42750,         32990,         33700,         32410,         34670,         31490,         44010,         28000,         35740,         27150,         28060,         37500
5,h_mean_2009,         57.73,         58.00,         54.68,         28.26,         27.01,         26.49,         40.70,         32.32,         45.28,         30.45,         38.01,         19.68,         30.39,         46.85,         36.23,         36.16,         20.65,         22.66,         38.27,         29.48,         43.94,         24.04,         15.65,         11.91,         20.55,         15.86,         16.20,         15.58,         16.67,         15.14,         21.16,         13.46,         17.18,         13.05,         13.49,         18.03
6,tot_emp_2009,169330,287210,495180,273930,10960,247900,552770,67950,149460,98430,26050,30360,298200,17940,60960,21370,56820,31250,261200,325710,271670,1381060,403100,576580,62470,10370,57220,2195860,195310,81650,1361170,243550,235480,131750,70230,15900
7,a_mean_2010,122720,123280,116970,60200,57710,62140,87260,68180,91220,65220,82320,41700,65900,98620,76980,76070,43370,47830,81120,62520,95130,50770,33100,24980,42640,34440,34670,32780,35180,31540,45860,28400,36390,27530,28610,37090
8,h_mean_2010,59,59.27,56.24,28.94,27.75,29.88,41.95,32.78,43.85,31.35,39.58,20.05,31.68,47.41,37.01,36.57,20.85,22.99,39,30.06,45.73,24.41,15.91,12.01,20.5,16.56,16.67,15.76,16.91,15.17,22.05,13.65,17.49,13.23,13.76,17.83
9,tot_emp_2010,164590,288660,478940,262540,10280,204000,536310,62680,155360,95350,27860,29560,283330,18320,62210,22830,50490,28210,244320,318800,276290,1359950,399950,556310,57600,9470,53770,2146120,181600,67170,1132070,219530,231570,119960,66580,15490
10,a_mean_2011,126190,125660,120450,61110,59080,63760,87980,69640,90900,67520,83620,41940,67960,103000,78840,77280,44850,48610,82400,62970,98810,52330,33770,25510,43800,35450,35790,33120,35810,32360,48120,29010,36850,28010,29190,40540
11,h_mean_2011,60.67,60.41,57.91,29.38,28.41,30.66,42.3,33.48,43.7,32.46,40.2,20.16,32.67,49.52,37.9,37.16,21.56,23.37,39.62,30.28,47.5,25.16,16.24,12.27,21.06,17.04,17.21,15.92,17.21,15.56,23.13,13.95,17.72,13.47,14.03,19.49
12,tot_emp_2011,168410,300830,477690,263810,10950,210510,538950,59140,161790,92840,28050,29400,284530,19590,65030,23770,49760,26080,235630,321780,307020,1364720,390800,544150,60720,8680,51240,2212820,186240,60830,952030,211200,218630,115010,66280,14780
13,a_mean_2012,129870,129130,123260,61530,60230,64960,88070,69500,90820,69200,84220,43670,70350,106680,79830,79570,46310,50780,82320,63400,100910,52830,34320,25790,44390,36920,35680,33110,36180,32950,50220,29220,37300,28140,29580,41010
14,h_mean_2012,62.44,62.08,59.26,29.58,28.96,31.23,42.34,33.42,43.66,33.27,40.49,21,33.82,51.29,38.38,38.25,22.26,24.42,39.58,30.48,48.51,25.4,16.5,12.4,21.34,17.75,17.15,15.92,17.4,15.84,24.14,14.05,17.93,13.53,14.22,19.72
15,tot_emp_2012,171430,309740,484910,263280,11770,227500,540440,61240,175470,91810,28060,27640,286670,21340,69180,25570,49390,23390,243420,336740,330470,1359150,385890,541770,61870,10150,51650,2299750,192010,55320,803040,207280,226260,102410,66820,14870
