,index,YEAR,OCCSOC,IND1990,FRACCOLLEGE,FRACWHITE,FRACFEMALE,AGE,LOGEMP,Pre,Post,AI,AIPost,num_patents
0,0,2005,291060,812,-0.0008385711866190677,-0.2088968820456338,-1.4703691635116005,3.8600720951517156,12.45020635404185,1,0,1,0,1.818
1,1,2005,291060,831,-0.0012222287885305103,-0.3754004734318835,-1.054275744053966,3.711949911797095,12.43453801083836,1,0,1,0,1.818
2,2,2005,291060,832,0.0,-0.1882431136973919,-0.7899344655072834,3.8815637979434374,6.988413181999592,1,0,1,0,1.818
3,3,2006,291060,812,-0.0020116983277273246,-0.2550356908729433,-1.4985845088561844,3.8642452247199244,12.450057500216031,1,0,1,0,1.969
4,4,2006,291060,831,-0.0015261175347047952,-0.3835466279795683,-1.0522475389440846,3.7266596450407397,12.457053129168886,1,0,1,0,1.969
5,5,2006,291060,832,0.0,-0.32890002817301234,-0.9427664058581829,3.8958936234982624,6.042632833682381,1,0,1,0,1.969
6,6,2007,291060,812,-0.0009840021108855957,-0.23800522152429135,-1.4897196780184643,3.86170476852042,12.437803222581671,1,0,1,0,2.183
7,7,2007,291060,831,-0.0015413236204797516,-0.3707797776818238,-1.043525919649184,3.723265446469749,12.523256479761772,1,0,1,0,2.183
8,8,2007,291060,832,0.0,-0.1566125488790678,-1.3139289491356387,3.8735131506662706,7.351799869057777,1,0,1,0,2.183
9,9,2008,291060,812,-0.01360439559492846,-0.22307476240545618,-1.3116695456998848,3.870403166673141,12.387794022252097,1,0,1,0,2.277
10,10,2008,291060,831,-0.01538030850184884,-0.3779448644735035,-1.0317393198668827,3.7382849883532003,12.609178305662176,1,0,1,0,2.277
11,11,2008,291060,832,-0.13911280246271784,-0.2585933431948556,-0.5596157879354228,3.970291913552122,6.741700694652055,1,0,1,0,2.277
12,12,2009,291060,812,-0.0016553749749638625,-0.23037169056691267,-1.3700179560555492,3.874436155557974,12.378364910020254,1,0,1,0,2.25
13,13,2009,291060,831,-0.002741946839153682,-0.3727596609764906,-0.9942955484873705,3.7184655547826915,12.617052519326363,1,0,1,0,2.25
14,14,2009,291060,832,0.0,-0.6913819550353761,-1.0604794189726656,3.869711807356423,7.0317412587631285,1,0,1,0,2.25
15,15,2010,291060,812,0.0,-0.23372552256753126,-1.2788489554860423,3.880453331063127,12.350770213727438,1,0,1,0,2.335
16,16,2010,291060,831,-0.004537514468668024,-0.3958800034430035,-1.0160330238784878,3.72958876622943,12.651114172751521,1,0,1,0,2.335
17,17,2010,291060,832,0.0,-0.3458640278345168,-1.0591825672582413,3.876395827784995,6.824373670043086,1,0,1,0,2.335
18,18,2011,291060,812,-0.0040967827380865565,-0.2516592356454262,-1.2373211720710113,3.8910696556987308,12.393257357990116,1,0,1,0,2.404
19,19,2011,291060,831,-0.002329464642027759,-0.3945990770527057,-0.96284184382945,3.7425445237814476,12.661790340010446,1,0,1,0,2.404
20,20,2011,291060,832,0.0,-0.3446411043750088,-0.8646796913630816,3.968839480471807,7.07326971745971,1,0,1,0,2.404
21,21,2012,291060,812,-0.0017584672481559328,-0.25912166792437885,-1.3213611664028155,3.8920198478230263,12.323077600782716,1,0,1,0,2.719
22,22,2012,291060,831,-0.0021477439184358713,-0.39661853220228743,-0.9477918067674321,3.7401637472086273,12.68832285337176,1,0,1,0,2.719
23,23,2012,291060,832,0.0,-0.11363563778293856,-0.614482561499033,3.9734316335567894,7.355001921105257,1,0,1,0,2.719
24,24,2013,291060,812,-0.0037262837826344797,-0.2764055624013592,-1.240336222616064,3.8900399482468018,12.386550837704377,0,1,1,1,2.98
25,25,2013,291060,831,-0.0054868664223590696,-0.4345240657725772,-0.9755725159515233,3.7344669351486974,12.749823244276014,0,1,1,1,2.98
26,26,2013,291060,832,0.0,-0.1339384758786687,-1.1158540951026157,3.769883238267023,6.553933404025811,0,1,1,1,2.98
27,27,2014,291060,812,0.0,-0.28788739899065086,-1.222133111577471,3.8929956707353113,12.290239146360978,0,1,1,1,3.247
28,28,2014,291060,831,0.0,-0.37947516572629475,-0.9283628732441505,3.7498541547016693,12.73832898230596,0,1,1,1,3.247
29,29,2014,291060,832,0.0,-0.4366733145620054,-1.115514099470713,3.858622228701031,6.97914527506881,0,1,1,1,3.247
30,30,2015,291060,812,-0.002078558117182132,-0.2848212266306682,-1.2231833366762923,3.9036527235037277,12.352987207692804,0,1,1,1,3.451
31,31,2015,291060,831,-0.004667193714791897,-0.3681436902259446,-0.9752089780679403,3.7359154823572096,12.770761259186315,0,1,1,1,3.451
32,32,2015,291060,832,0.0,-0.3881460726509533,-0.6218544123568102,3.8758199567641856,7.820037989458753,0,1,1,1,3.451
33,33,2016,291060,812,-0.004416219223628773,-0.3281099598227948,-1.1774353696335464,3.9001651589773627,12.370692616294138,0,1,1,1,4.496
34,34,2016,291060,831,-0.004757638252792905,-0.44166517885703765,-0.9457608771132888,3.747155015221609,12.784639157378864,0,1,1,1,4.496
35,35,2016,291060,832,0.0,-0.3623549844544359,-0.9822987609910862,3.8317421741673434,7.034387929915503,0,1,1,1,4.496
36,36,2017,291060,812,-0.003794709294369048,-0.3147331333117939,-1.08797238061773,3.891017270898388,12.351410318934146,0,1,1,1,4.432
37,37,2017,291060,831,-0.0030821951245922938,-0.41408768182863814,-0.8972263802224303,3.7418013267516037,12.846702098179176,0,1,1,1,4.432
38,38,2017,291060,832,0.0,-0.37682974591719265,-0.7586251099394523,3.8939662216809032,7.440733707389261,0,1,1,1,4.432
