,index,YEAR,OCCSOC,IND1990,FRACCOLLEGE,FRACWHITE,FRACFEMALE,AGE,LOGEMP,Pre,Post,AI,AIPost,num_patents
0,0,2005,436010,812,-0.7656248610100166,-0.14731812259395935,-0.017184554635352574,3.7613435122809693,11.500063098253284,1,0,1,0,1.818
1,1,2005,436010,831,-0.6978767225065535,-0.3250854883886216,-0.02616911798075868,3.8105703515925504,12.151996535331502,1,0,1,0,1.818
2,2,2005,436010,832,-0.7766531985561362,-0.21912801921526254,-0.012162360709872618,3.8497675903051434,9.5453830157878,1,0,1,0,1.818
3,3,2006,436010,812,-0.675719586851333,-0.13329737554020762,-0.009168133173852434,3.7748126638832207,11.46394528274851,1,0,1,0,1.969
4,4,2006,436010,831,-0.6550148423479887,-0.2927004192120369,-0.029362162108757892,3.8096234465739243,12.096218716260008,1,0,1,0,1.969
5,5,2006,436010,832,-0.8746693311559007,-0.28932094847367806,-0.011605990659488577,3.8038952794261593,9.770298958292383,1,0,1,0,1.969
6,6,2007,436010,812,-0.6733030745963025,-0.17190341734778408,-0.03690816441657974,3.7717892940334705,11.426343086856512,1,0,1,0,2.183
7,7,2007,436010,831,-0.6706485161034055,-0.30515305626923217,-0.034819700758531955,3.819962768957801,12.119419386226932,1,0,1,0,2.183
8,8,2007,436010,832,-0.8718416290157266,-0.17621070110543904,-0.03656930983933789,3.819713842925317,9.701799673251209,1,0,1,0,2.183
9,9,2008,436010,812,-0.6536048924382951,-0.11413526593578043,-0.022381536271719713,3.7696368964418627,11.430413043395765,1,0,1,0,2.277
10,10,2008,436010,831,-0.6513292408766237,-0.3162816025087567,-0.034228960990007384,3.8101685634504996,12.186573772096118,1,0,1,0,2.277
11,11,2008,436010,832,-0.70168553083224,-0.28901768689565954,-0.009257794670907376,3.8441422217313654,9.810878720803466,1,0,1,0,2.277
12,12,2009,436010,812,-0.6217249222346181,-0.17375158989078068,-0.03556934791104187,3.791294010325787,11.499262551001046,1,0,1,0,2.25
13,13,2009,436010,831,-0.6007973032815989,-0.3142881550940277,-0.03263806773139814,3.836637156481218,12.118202718273533,1,0,1,0,2.25
