,occ_code,occ_title,tot_emp_2019,h_mean_2019,a_mean_2019,tot_emp_2018,h_mean_2018,a_mean_2018,tot_emp_2017,h_mean_2017,a_mean_2017,tot_emp_2016,h_mean_2016,a_mean_2016,tot_emp_2015,h_mean_2015,a_mean_2015,tot_emp_2014,h_mean_2014,a_mean_2014,tot_emp_2013,h_mean_2013,a_mean_2013,tot_emp_2012,h_mean_2012,a_mean_2012,tot_emp_2011,h_mean_2011,a_mean_2011,tot_emp_2010,h_mean_2010,a_mean_2010,tot_emp_2009,h_mean_2009,a_mean_2009
0,00-0000,All Occupations,146875480,25.72,53490,144733270.0,24.98,51960,142549250.0,24.34,50620,140400040.0,23.86,49630,137896660.0,23.23,48320,135128260.0,22.71,47230,132588810.0,22.33,46440,130287700.0,22.01,45790,128278550.0,21.74,45230,127097160.0,21.35,44410,130647610.0,         20.90,         43460
1,11-0000,Management Occupations,8054120,58.88,122480,7616650.0,58.44,121560,7280330.0,57.65,119910,7090790.0,56.74,118020,6936990.0,55.3,115020,6741640.0,54.08,112490,6542950.0,53.15,110550,6390430.0,52.2,108570,6183820.0,51.64,107410,6022860.0,50.69,105440,,,
2,11-1000,Top Executives,2658440,61.09,127070,2535640.0,61.66,128240,2473740.0,61.55,128020,2465800.0,61.03,126950,2439900.0,59.71,124210,2351130.0,58.68,122060,2278260.0,58.18,121010,2212150.0,57.72,120060,,,,,,,,,
3,11-1010,Chief Executives,205890,93.2,193850,195530.0,96.22,200140,210160.0,94.25,196050,223260.0,93.44,194350,238940.0,89.35,185850,246240.0,86.88,180700,248760.0,85.77,178400,255940.0,85.02,176840,,,,,,,,,
4,11-1011,Chief Executives,205890,93.2,193850,195530.0,96.22,200140,210160.0,94.25,196050,223260.0,93.44,194350,238940.0,89.35,185850,246240.0,86.88,180700,248760.0,85.77,178400,255940.0,85.02,176840,267370.0,84.88,176550,273500.0,83.34,173350,,,
5,11-1020,General and Operations Managers,2400280,59.15,123030,2289770.0,59.56,123880,2212200.0,59.35,123460,2188870.0,58.7,122090,2145140.0,57.44,119460,2049870.0,56.35,117200,1973700.0,55.81,116090,1899460.0,55.22,114850,,,,,,,,,
6,11-1021,General and Operations Managers,2400280,59.15,123030,2289770.0,59.56,123880,2212200.0,59.35,123460,2188870.0,58.7,122090,2145140.0,57.44,119460,2049870.0,56.35,117200,1973700.0,55.81,116090,1899460.0,55.22,114850,1805030.0,55.04,114490,1708080.0,54.38,113100,,,
7,11-1030,Legislators,52280,*,49440,50330.0,*,47620,51380.0,*,46350,53670.0,*,44820,55820.0,*,42530,55020.0,*,40430,55800.0,*,39320,56760.0,*,38590,,,,,,,,,
8,11-1031,Legislators,52280,*,49440,50330.0,*,47620,51380.0,*,46350,53670.0,*,44820,55820.0,*,42530,55020.0,*,40430,55800.0,*,39320,56760.0,*,38590,62180.0,*,38860,65710.0,*,38470,65750.0,*,         37530
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",770540,68.91,143330,717220.0,68.03,141500,685780.0,66.66,138650,663960.0,65.39,136020,647360.0,63.3,131670,629670.0,61.48,127880,608470.0,59.92,124640,598110.0,58.24,121150,,,,,,,,,
